행정동코드,총생활인구수,raw_score_floating_pop
3424.5095,98.9187,98.9187
3425.2004,80.6067,80.6067
3425.5576,113.2718,113.2718
3427.1538,75.139,75.139
3427.2394,87.2567,87.2567
3427.3842,100.4019,100.4019
3427.4782,65.5772,65.5772
3427.9165,63.0246,63.0246
3428.1103,115.1852,115.1852
3428.3951,70.8244,70.8244
3428.4822,87.2848,87.2848
3429.0004,84.446,84.446
3429.1486,130.6153,130.6153
3429.7014,112.5,112.5
3429.9906,79.0336,79.0336
3433.6889,194.4311,194.4311
3433.9313,65.743,65.743
3434.6627,102.509,102.509
3434.6695,87.6817,87.6817
3434.7704,183.9835,183.9835
3434.9198,85.4201,85.4201
