사업장명,도로명주소,raw_score_noise_pub,경도,위도
서울여자,"서울특별시 강남구 테헤란로2길 36, 지하1층 (역삼동)",1.0,127.0266756263853,37.49583615055069
초콜렛,"서울특별시 성동구 무학로2길 39 (도선동, 도선동149외3필지 지하1층)",1.0,127.03136631460892,37.56294381934625
산타룸노래클럽,"서울특별시 성동구 무학로2길 44 (도선동,(지하1층))",1.0,127.03141224207091,37.56268732633852
땡벌,"서울특별시 성동구 왕십리로22길 3 (도선동, 50 지하1층)",1.0,127.03137935441737,37.56261885079731
브이아이피(vip)노래뱅크,"서울특별시 성동구 무학로2길 45 (도선동,지상2층)",1.0,127.03174603978431,37.562702114102756
동경,"서울특별시 성동구 왕십리로22길 10 (도선동,지하1층)",1.0,127.03191475479476,37.562838462348935
W 더블유,서울특별시 성동구 무학로2길 48 (도선동),1.0,127.03179611443441,37.56237616381252
엠비씨(MBC)노래주점,"서울특별시 성동구 무학로2길 46, 3층 (도선동)",1.0,127.03168380347385,37.56245412190087
카라노래바,서울특별시 광진구 동일로 168 (화양동),1.0,127.06410501627944,37.54703811786693
술마시는뮤직노래방,서울특별시 광진구 구의로 72 (구의동),1.0,127.08783522556084,37.54442454031421
쎄시,서울특별시 광진구 광나루로 347 (군자동),1.0,127.06576389563173,37.54843463233471
파라곤노래바,서울특별시 광진구 군자로 69 (군자동),1.0,127.06768955434333,37.549392889577426
비타민,서울특별시 광진구 광나루로 341 (군자동),1.0,127.06503678524885,37.54852389284154
W(더블유),서울특별시 광진구 동일로 166 (화양동),1.0,127.064160178993,37.54688660464067
슈퍼노래바,"서울특별시 광진구 동일로 164 (화양동,, 7)",1.0,127.06398022133227,37.546719676429
동서울노래방,서울특별시 광진구 광나루로 529 (구의동),1.0,127.0855803342385,37.54513785146988
뮤즈노래바,서울특별시 광진구 자양로 112 (구의동),1.0,127.08077686791665,37.53777910619803
로제노래밤,서울특별시 광진구 광나루로 343 (군자동),1.0,127.06524886973021,37.548551348847745
하트,서울특별시 동대문구 전농로16길 12 (전농동),1.0,127.05500392206486,37.57824095496587
아마죤,"서울특별시 동대문구 천호대로 128, 지하1층 (용두동)",1.0,127.03477403763691,37.573908074104615
정거장,"서울특별시 동대문구 한천로 190 (장안동,(한천로 190))",1.0,127.0656783323447,37.57788463981047
제이시,"서울특별시 동대문구 이문로 16, 지하1층 (휘경동)",1.0,127.05219836302439,37.58914707338434
카톡,"서울특별시 동대문구 왕산로 266, 지하1층 (전농동)",1.0,127.04772077257951,37.58428561099026
돈텔 마마,"서울특별시 동대문구 고미술로 99, 5층 (답십리동)",1.0,127.05470024135026,37.56425274525343
수 소주BAR 클럽,"서울특별시 동대문구 이문로 36, 지하1층 (휘경동)",1.0,127.05367400271831,37.590671399143055
허니클럽,"서울특별시 동대문구 장한로 114, 지하1층 (장안동)",1.0,127.06808140499784,37.57057822788421
25시 노래방,"서울특별시 동대문구 장한로 106, 지하1층 (장안동)",1.0,127.0676593120135,37.56988464559807
캔디노래바,"서울특별시 동대문구 장한로 122, 지하1층 (장안동)",1.0,127.06852218171106,37.57128405109728
정글,"서울특별시 동대문구 이문로 40, 2층 (휘경동)",1.0,127.0538406299058,37.59090673220274
팔일일,"서울특별시 동대문구 장한로 106, 2층 (장안동)",1.0,127.0676593120135,37.56988464559807
비비,"서울특별시 동대문구 왕산로 11, 지하1층 (신설동)",1.0,127.02186238877752,37.576385895596154
남태평양,"서울특별시 동대문구 이문로 200 (이문동,(지하1층))",1.0,127.05928883004057,37.60425393167292
작은성노래바,"서울특별시 동대문구 장한로21길 11-12, 지하1층 (장안동)",1.0,127.0657953697107,37.569182180593785
타임,"서울특별시 동대문구 천호대로 343, 지하1층 (답십리동)",1.0,127.0550036960948,37.56351304587374
시크릿,"서울특별시 동대문구 장한로24길 13, 지하1층 (장안동)",1.0,127.06893666712145,37.570843145870455
늪,"서울특별시 동대문구 고미술로 100, 지하1층 (답십리동, 지하1층 10,11,12호)",1.0,127.05448371802805,37.56388102119361
망고,"서울특별시 동대문구 천호대로 425, 지하1층 (장안동)",1.0,127.06343240838214,37.5616065739491
몰디브,서울특별시 강북구 도봉로87길 6 (수유동),1.0,127.02244992134044,37.63833232816925
럭셔리,"서울특별시 강북구 도봉로 351, 지하1층층 (수유동)",1.0,127.02344813913581,37.63904736688573
썸노래클럽,서울특별시 강북구 도봉로 280 (미아동),1.0,127.02087793346901,37.633382260470555
